PROTEIN_U,PROTEIN_V,PUBMED
YDR311W,YNL135C,11805826
YBR247C,YDR447C,28244370
YDR489W,YML034W,11283351
YDR113C,YGR098C,11433293
YGR246C,YNL071W,30593915
YDR101C,YLR074C,16429126
YAL005C,YOL039W,19536198
YGL097W,YIL021W,34543624
YDR171W,YPL001W,19536198
YOL077C,YPL240C,19536198
YDL126C,YDR143C,11805837
YGR086C,YPL004C,16554755
YAR019C,YFR028C,11267871
YLR304C,YOL086C,29651044
YBR234C,YKL013C,11805837
YLL008W,YNL110C,16429126
YEL031W,YLR378C,30682149
YBR106W,YLR150W,27905431
YPL031C,YPR025C,9032248
YDR473C,YPR178W,16429126
YDR155C,YDR510W,15590687
YDR490C,YHL015W,31062022
YDL213C,YDR324C,16429126
YDL042C,YDR227W,11805826
YAL019W,YBR009C,28202543
YJL058C,YMR068W,29170376
YHR023W,YNL107W,22875988
YAL038W,YER151C,20508643
YEL026W,YKL156W,31062022
YCL039W,YGR254W,11805837
YER091C,YFL033C,11805837
YIL177C,YKL049C,21070971
YER165W,YMR128W,29263326
YER048C,YPL129W,19536198
YDR489W,YOL146W,30104407
YOR001W,YOR001W,14759368
YBR200W,YHL007C,7502048
YDL030W,YOR319W,34349264
YLR293C,YOR117W,18757749
YBL061C,YIR010W,25213378
YBR060C,YNL261W,16429126
YDR533C,YIR021W,19536198
YDL121C,YGL008C,28727280
YER021W,YLL039C,21211725
YKL114C,YLR248W,21460040
YGR162W,YHR087W,22720784
YIL137C,YLR048W,27580715
YBR291C,YHR096C,16093310
YLR291C,YML042W,18719252
YAL024C,YDR385W,14660704
YGL116W,YKL022C,29883473
YBL058W,YML016C,31249134
YDR343C,YER171W,11805837
YAL005C,YMR048W,19536198
YML099C,YMR042W,12138185
YDL077C,YKL197C,25026036
YDR507C,YLR175W,16554755
YGL137W,YPR110C,11805837
YDR450W,YMR188C,31062022
YGR285C,YPR189W,16429126
YDR468C,YKL196C,21987636
YGR113W,YIL035C,21633108
YGL221C,YML064C,11283351
YGR086C,YPL074W,11805837
YFL013C,YNL215W,16554755
YAL038W,YJL208C,22940862
YGL122C,YIL149C,15692572
YJL208C,YKR079C,14690591
YGR187C,YNR016C,30876804
YCL030C,YIL142W,19536198
YGR274C,YPL129W,10788514
YDR488C,YNR058W,11805837
YML062C,YNL140C,16554755
YBL045C,YGR112W,23979592
YJR090C,YLL039C,11805837
