INFLATION,N_EDGES,METHOD,XVAL_ITER,DENS_THRESH,MATCH_THRESH,N_CLUSTERS,PREC_NUM,RECALL_NUM,PREC,RECALL,F_SCORE
4,all_edges,GO_MF,1,0.0,0.5,570,17,18,0.030575539568345324,0.13432835820895522,0.04981279505127787
4,all_edges,GO_MF,1,0.0,0.75,570,1,1,0.0017574692442882249,0.007462686567164179,0.0028449502133712657
4,all_edges,ALL,1,0.0,0.5,785,32,37,0.041666666666666664,0.27611940298507465,0.07240704500978473
4,all_edges,ALL,1,0.0,0.75,785,9,9,0.011479591836734694,0.06716417910447761,0.019607843137254905
4,all_edges,GO_SS,1,0.0,0.5,620,20,22,0.033003300330033,0.16417910447761194,0.05495878091431427
4,all_edges,GO_SS,1,0.0,0.75,620,6,6,0.00967741935483871,0.04477611940298507,0.015915119363395226
4,all_edges,TOPOS,1,0.0,0.5,385,27,29,0.07238605898123325,0.21641791044776118,0.1084863179771389
4,all_edges,TOPOS,1,0.0,0.75,385,1,1,0.0026109660574412533,0.007462686567164179,0.0038684719535783366
4,all_edges,ASSOC,1,0.0,0.5,897,27,29,0.03064699205448354,0.21641791044776118,0.05369081496211472
4,all_edges,ASSOC,1,0.0,0.75,897,8,9,0.008928571428571428,0.06716417910447761,0.01576182136602452
4,all_edges,TOPO_GO,1,0.0,0.5,586,24,28,0.042328042328042326,0.208955223880597,0.07039597737272156
4,all_edges,TOPO_GO,1,0.0,0.75,586,7,7,0.011945392491467578,0.05223880597014925,0.019444444444444445
4,all_edges,TOPO_CO_EXP,1,0.0,0.5,652,16,17,0.02476780185758514,0.12686567164179105,0.04144446137437147
4,all_edges,TOPO_CO_EXP,1,0.0,0.75,652,4,4,0.006134969325153374,0.029850746268656716,0.010178117048346057
4,all_edges,TOPO_CO_EXP,1,0.0,0.5,652,16,17,0.02476780185758514,0.12686567164179105,0.04144446137437147
4,all_edges,TOPO_CO_EXP,1,0.0,0.75,652,4,4,0.006134969325153374,0.029850746268656716,0.010178117048346057
4,all_edges,TOPO_GO_CO_EXP,1,0.0,0.5,650,27,31,0.04225352112676056,0.23134328358208955,0.07145601229350748
4,all_edges,TOPO_GO_CO_EXP,1,0.0,0.75,650,4,4,0.0061633281972265025,0.029850746268656716,0.010217113665389526
4,all_edges,CNB,1,0.0,0.5,1018,77,82,0.08071278825995808,0.6119402985074627,0.14261513789442776
4,all_edges,CNB,1,0.0,0.75,1018,29,29,0.028798411122144985,0.21641791044776118,0.05083260297984225
4,all_edges,RF,1,0.0,0.5,1058,78,82,0.07926829268292683,0.6119402985074627,0.1403554970375247
4,all_edges,RF,1,0.0,0.75,1058,30,31,0.028735632183908046,0.23134328358208955,0.05112137203166226
4,all_edges,MLP,1,0.0,0.5,976,73,77,0.07986870897155361,0.5746268656716418,0.1402445109780439
4,all_edges,MLP,1,0.0,0.75,976,26,27,0.026915113871635612,0.20149253731343283,0.047486978285868904
4,all_edges,SWC,1,0.0,0.5,944,58,61,0.06531531531531531,0.4552238805970149,0.11423958669680336
4,all_edges,SWC,1,0.0,0.75,944,12,12,0.01279317697228145,0.08955223880597014,0.022388059701492536
4,20k_edges,TOPO,1,0.0,0.5,267,51,55,0.204,0.41044776119402987,0.2725417800233191
4,20k_edges,TOPO,1,0.0,0.75,267,13,14,0.04905660377358491,0.1044776119402985,0.06676449009537784
4,20k_edges,TOPO_L2,1,0.0,0.5,528,0,0,0.0,0.0,0.0
4,20k_edges,TOPO_L2,1,0.0,0.75,528,0,0,0.0,0.0,0.0
4,20k_edges,STRING,1,0.0,0.5,918,65,70,0.07462686567164178,0.5223880597014925,0.13059701492537312
4,20k_edges,STRING,1,0.0,0.75,918,15,17,0.01639344262295082,0.12686567164179105,0.029035012809564477
4,20k_edges,CO_OCCUR,1,0.0,0.5,1084,39,43,0.0375,0.3208955223880597,0.06715252472670484
4,20k_edges,CO_OCCUR,1,0.0,0.75,1084,10,10,0.009242144177449169,0.07462686567164178,0.01644736842105263
4,20k_edges,REL,1,0.0,0.5,737,43,48,0.06231884057971015,0.3582089552238806,0.10616737822128493
4,20k_edges,REL,1,0.0,0.75,737,6,7,0.00819672131147541,0.05223880597014925,0.01417004048582996
4,20k_edges,CO_EXP,1,0.0,0.5,345,0,0,0.0,0.0,0.0
4,20k_edges,CO_EXP,1,0.0,0.75,345,0,0,0.0,0.0,0.0
4,20k_edges,GO_CC,1,0.0,0.5,311,66,73,0.2357142857142857,0.5447761194029851,0.329053408004371
4,20k_edges,GO_CC,1,0.0,0.75,311,22,22,0.07096774193548387,0.16417910447761194,0.0990990990990991
4,20k_edges,GO_BP,1,0.0,0.5,636,22,24,0.036243822075782535,0.1791044776119403,0.060287736926238865
4,20k_edges,GO_BP,1,0.0,0.75,636,6,7,0.009448818897637795,0.05223880597014925,0.016003048199657078
4,20k_edges,GO_MF,1,0.0,0.5,565,19,20,0.03486238532110092,0.14925373134328357,0.05652238583965492
4,20k_edges,GO_MF,1,0.0,0.75,565,6,6,0.010714285714285714,0.04477611940298507,0.01729106628242075
4,20k_edges,ALL,1,0.0,0.5,682,66,72,0.10610932475884244,0.5373134328358209,0.17722085477735508
4,20k_edges,ALL,1,0.0,0.75,682,24,25,0.03545051698670606,0.1865671641791045,0.05957996127302517
4,20k_edges,GO_SS,1,0.0,0.5,638,41,44,0.06902356902356903,0.3283582089552239,0.11406892190957951
4,20k_edges,GO_SS,1,0.0,0.75,638,12,14,0.01904761904761905,0.1044776119402985,0.03222094361334868
4,20k_edges,TOPOS,1,0.0,0.5,270,40,43,0.15151515151515152,0.3208955223880597,0.20584011488750598
4,20k_edges,TOPOS,1,0.0,0.75,270,12,13,0.04460966542750929,0.09701492537313433,0.061116552399608226
4,20k_edges,ASSOC,1,0.0,0.5,789,55,59,0.07452574525745258,0.44029850746268656,0.12747485857950974
4,20k_edges,ASSOC,1,0.0,0.75,789,11,11,0.01403061224489796,0.08208955223880597,0.02396514161220044
4,20k_edges,TOPO_GO,1,0.0,0.5,600,59,63,0.10535714285714286,0.4701492537313433,0.17213911915898672
4,20k_edges,TOPO_GO,1,0.0,0.75,600,14,15,0.023529411764705882,0.11194029850746269,0.03888528839922229
4,20k_edges,TOPO_CO_EXP,1,0.0,0.5,517,15,16,0.029585798816568046,0.11940298507462686,0.04742145820983995
4,20k_edges,TOPO_CO_EXP,1,0.0,0.75,517,2,2,0.003875968992248062,0.014925373134328358,0.006153846153846153
4,20k_edges,TOPO_CO_EXP,1,0.0,0.5,517,15,16,0.029585798816568046,0.11940298507462686,0.04742145820983995
4,20k_edges,TOPO_CO_EXP,1,0.0,0.75,517,2,2,0.003875968992248062,0.014925373134328358,0.006153846153846153
4,20k_edges,TOPO_GO_CO_EXP,1,0.0,0.5,662,45,49,0.07305194805194805,0.3656716417910448,0.12177610868724803
4,20k_edges,TOPO_GO_CO_EXP,1,0.0,0.75,662,10,11,0.01529051987767584,0.08208955223880597,0.025779235997187722
4,20k_edges,CNB,1,0.0,0.5,963,87,93,0.09897610921501707,0.6940298507462687,0.17324554360044966
4,20k_edges,CNB,1,0.0,0.75,963,30,32,0.031512605042016806,0.23880597014925373,0.05567799559215868
4,20k_edges,RF,1,0.0,0.5,943,87,93,0.10139860139860139,0.6940298507462687,0.17694528277128987
4,20k_edges,RF,1,0.0,0.75,943,40,42,0.043243243243243246,0.31343283582089554,0.07600090477267586
4,20k_edges,MLP,1,0.0,0.5,828,84,90,0.11244979919678715,0.6716417910447762,0.19264582218484824
4,20k_edges,MLP,1,0.0,0.75,828,38,38,0.0463980463980464,0.2835820895522388,0.07974816369359916
4,20k_edges,SWC,1,0.0,0.5,845,81,85,0.10574412532637076,0.6343283582089553,0.18127007529882577
4,20k_edges,SWC,1,0.0,0.75,845,24,25,0.028811524609843937,0.1865671641791045,0.04991472900461711
